
Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 43.0153: (MOVE_BOX_AND_ROBOT R2 L4 L5 B6) [D:1.0000; C:1.0000]
 44.0155: (MOVE_BOX_AND_ROBOT R2 L5 L4 B6) [D:1.0000; C:1.0000]
 45.0158: (MOVE_BOX_AND_ROBOT R2 L4 L3 B6) [D:1.0000; C:1.0000]
 46.0160: (MOVE_BOX_AND_ROBOT R2 L3 L4 B6) [D:1.0000; C:1.0000]
 41.0163: (MOVE_ROBOT R1 CENTRALWAREHOUSE L2) [D:1.0000; C:1.0000]
 42.0165: (MOVE_ROBOT R1 L2 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 47.0168: (MOVE_ROBOT R1 CENTRALWAREHOUSE L3) [D:1.0000; C:1.0000]
 48.0170: (PICK_BOX_FROM_LOCATION R1 B6 L3) [D:1.0000; C:1.0000]
 49.0173: (DELIVER_BOX_TO_WS R1 B6 WS3 L3 BOLT6) [D:1.0000; C:1.0000]
 50.0175: (FILL_BOX R1 B2 BOLT6 L3) [D:1.0000; C:1.0000]
 51.0177: (PICK_BOX_FROM_LOCATION R1 B2 L3) [D:1.0000; C:1.0000]
 52.0180: (DELIVER_BOX_TO_WS R1 B2 WS3 L3 BOLT6) [D:1.0000; C:1.0000]
 53.0182: (MOVE_ROBOT R1 L3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 54.0185: (MOVE_BOX_AND_ROBOT R2 L4 L3 B6) [D:1.0000; C:1.0000]
 45.0187: (MOVE_ROBOT R3 L6 L5) [D:1.0000; C:1.0000]
 46.0190: (PICK_BOX_FROM_LOCATION R3 B6 L5) [D:1.0000; C:1.0000]
 47.0192: (DELIVER_BOX_TO_WS R3 B6 WS6 L5 BOLT6) [D:1.0000; C:1.0000]
 50.0195: (EMPTY_BOX R3 B6 BOLT6 L5 WS6) [D:1.0000; C:1.0000]
 55.0197: (FILL_BOX R2 B6 BOLT6 L3) [D:1.0000; C:1.0000]
 56.0200: (DELIVER_BOX_TO_WS R2 B6 WS3 L3 BOLT6) [D:1.0000; C:1.0000]
 57.0202: (MOVE_ROBOT R2 L3 L4) [D:1.0000; C:1.0000]
 58.0205: (PICK_BOX_FROM_LOCATION R2 B6 L4) [D:1.0000; C:1.0000]
 59.0207: (MOVE_BOX_AND_ROBOT R2 L4 L3 B6) [D:1.0000; C:1.0000]
 60.0210: (MOVE_BOX_AND_ROBOT R2 L3 L4 B6) [D:1.0000; C:1.0000]
